"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"BHARTIARTL","EQ","24-Aug-2020","        520.25","        517.90","        532.40","        508.20","        531.00","        526.90","        517.35","   29166922","         15089520439.25","     235265"
"BHARTIARTL","EQ","25-Aug-2020","        526.90","        534.50","        535.65","        526.00","        528.65","        528.65","        529.75","   19516042","         10338649072.85","     180901"
"BHARTIARTL","EQ","26-Aug-2020","        528.65","        528.40","        528.40","        512.00","        513.50","        514.50","        516.39","   25906518","         13377981403.95","     236897"
"BHARTIARTL","EQ","27-Aug-2020","        514.50","        514.40","        518.50","        508.00","        512.50","        511.15","        512.97","   21871778","         11219593852.35","     166733"
"BHARTIARTL","EQ","28-Aug-2020","        511.15","        512.10","        529.55","        512.10","        522.50","        523.45","        523.32","   21808591","         11412882808.75","     231362"
"BHARTIARTL","EQ","31-Aug-2020","        523.45","        518.50","        522.30","        508.55","        512.45","        513.10","        513.53","  186856499","         95956407296.25","     506006"
"BHARTIARTL","EQ","01-Sep-2020","        513.10","        517.50","        555.45","        514.20","        549.50","        546.25","        539.51","   74337280","         40105838216.80","     573200"
"BHARTIARTL","EQ","02-Sep-2020","        546.25","        550.00","        559.00","        545.10","        550.45","        550.55","        551.97","   35023081","         19331827446.15","     298159"
"BHARTIARTL","EQ","03-Sep-2020","        550.55","        550.55","        552.90","        535.65","        539.60","        538.00","        542.19","   24622381","         13350029336.35","     211388"
"BHARTIARTL","EQ","04-Sep-2020","        538.00","        531.50","        538.00","        519.50","        523.65","        523.15","        529.21","   28083439","         14862027359.80","     181825"
"BHARTIARTL","EQ","07-Sep-2020","        523.15","        525.00","        528.00","        510.30","        515.00","        515.45","        516.98","   16147428","          8347886616.45","     192361"
"BHARTIARTL","EQ","08-Sep-2020","        515.45","        516.00","        516.85","        494.00","        495.90","        498.10","        506.16","   33123745","         16765833252.05","     275453"
"BHARTIARTL","EQ","09-Sep-2020","        498.10","        493.25","        506.65","        491.10","        503.75","        504.25","        500.29","   31478272","         15748241560.10","     198922"
"BHARTIARTL","EQ","10-Sep-2020","        504.25","        508.00","        508.00","        491.20","        498.20","        497.35","        500.84","   21005767","         10520625168.40","     251922"
"BHARTIARTL","EQ","11-Sep-2020","        497.35","        499.30","        502.45","        488.55","        491.50","        491.65","        494.01","   15597700","          7705393909.70","     301695"
"BHARTIARTL","EQ","14-Sep-2020","        491.65","        496.00","        497.25","        468.30","        473.00","        474.10","        479.62","   52056004","         24966969808.80","     589731"
"BHARTIARTL","EQ","15-Sep-2020","        474.10","        475.15","        487.65","        470.05","        485.05","        485.55","        479.95","   30857464","         14810152927.90","     286885"
"BHARTIARTL","EQ","16-Sep-2020","        485.55","        487.00","        490.70","        480.55","        481.55","        481.75","        484.56","   13133556","          6364030285.30","     166056"
"BHARTIARTL","EQ","17-Sep-2020","        481.75","        480.00","        482.35","        474.00","        479.60","        479.00","        477.99","   13497203","          6451564953.55","     167290"
"BHARTIARTL","EQ","18-Sep-2020","        479.00","        483.00","        497.65","        475.30","        496.85","        494.55","        491.26","   54801702","         26921750331.75","     246800"
"BHARTIARTL","EQ","21-Sep-2020","        494.55","        496.00","        496.00","        461.25","        467.55","        467.75","        476.35","   22737775","         10831174039.10","     217444"
"BHARTIARTL","EQ","22-Sep-2020","        467.75","        468.50","        478.50","        461.00","        471.25","        470.95","        471.50","   18600835","          8770254400.65","     230512"
"BHARTIARTL","EQ","23-Sep-2020","        470.95","        467.00","        467.00","        423.90","        432.50","        433.80","        440.92","   85211349","         37571011349.25","     646407"
"BHARTIARTL","EQ","24-Sep-2020","        433.80","        425.25","        433.50","        416.15","        419.95","        419.30","        426.62","   35786844","         15267370541.60","     710725"
"BHARTIARTL","EQ","25-Sep-2020","        419.30","        425.00","        444.95","        422.15","        440.00","        439.65","        436.52","   33602428","         14668070249.75","     352633"
"BHARTIARTL","EQ","28-Sep-2020","        439.65","        446.00","        447.65","        434.05","        442.40","        443.65","        441.88","   21053041","          9302946430.70","     164974"
"BHARTIARTL","EQ","29-Sep-2020","        443.65","        444.00","        444.55","        429.50","        435.60","        435.60","        435.44","   17852308","          7773643270.75","     233149"
"BHARTIARTL","EQ","30-Sep-2020","        435.60","        438.00","        440.40","        418.15","        419.65","        420.95","        428.87","   27176498","         11655184705.10","     257236"
"BHARTIARTL","EQ","01-Oct-2020","        420.95","        426.00","        434.60","        423.65","        430.20","        432.35","        430.14","   13344280","          5739948115.10","     140573"
"BHARTIARTL","EQ","05-Oct-2020","        432.35","        432.35","        437.50","        423.00","        423.90","        424.45","        429.59","   15001368","          6444395584.75","     175396"
"BHARTIARTL","EQ","06-Oct-2020","        424.45","        427.00","        430.00","        423.10","        427.60","        426.75","        426.41","   10876652","          4637894769.35","     169406"
"BHARTIARTL","EQ","07-Oct-2020","        426.75","        427.80","        431.75","        421.10","        423.20","        422.45","        424.90","   10202818","          4335157786.05","     138523"
"BHARTIARTL","EQ","08-Oct-2020","        422.45","        426.00","        435.50","        419.10","        425.15","        424.45","        428.17","   16705222","          7152657253.55","     365775"
"BHARTIARTL","EQ","09-Oct-2020","        424.45","        428.00","        435.00","        423.30","        425.00","        425.20","        427.95","   20563361","          8800074866.75","     391127"
"BHARTIARTL","EQ","12-Oct-2020","        425.20","        428.00","        430.60","        411.85","        413.25","        415.05","        420.39","   14063002","          5912009213.05","     204589"
"BHARTIARTL","EQ","13-Oct-2020","        415.05","        421.15","        427.50","        413.10","        416.00","        415.30","        420.12","   27781773","         11671631474.15","     338875"
"BHARTIARTL","EQ","14-Oct-2020","        415.30","        416.40","        419.50","        411.30","        412.60","        413.25","        414.94","   14110038","          5854855648.70","     161300"
"BHARTIARTL","EQ","15-Oct-2020","        413.25","        413.40","        415.50","        395.00","        398.90","        399.20","        403.13","   27855540","         11229315429.15","     284076"
"BHARTIARTL","EQ","16-Oct-2020","        399.20","        404.45","        407.30","        398.35","        402.10","        401.65","        402.24","   23347957","          9391515816.15","     236506"
"BHARTIARTL","EQ","19-Oct-2020","        401.65","        403.55","        404.65","        394.00","        396.05","        397.70","        397.86","   16921274","          6732310242.35","     191546"
"BHARTIARTL","EQ","20-Oct-2020","        397.70","        397.70","        413.20","        396.95","        405.65","        405.00","        407.13","   25909683","         10548625038.45","     243025"
"BHARTIARTL","EQ","21-Oct-2020","        405.00","        405.70","        420.20","        403.55","        419.50","        419.00","        413.01","   23488238","          9700833387.80","     207547"
"BHARTIARTL","EQ","22-Oct-2020","        419.00","        419.00","        432.35","        418.00","        431.00","        430.65","        425.96","   26516990","         11295181917.70","     259557"
"BHARTIARTL","EQ","23-Oct-2020","        430.65","        434.90","        437.60","        427.30","        434.00","        434.40","        433.47","   18171287","          7876624802.20","     200346"
"BHARTIARTL","EQ","26-Oct-2020","        434.40","        434.35","        439.45","        428.00","        433.80","        434.05","        433.74","   11736985","          5090850646.95","     133452"
"BHARTIARTL","EQ","27-Oct-2020","        434.05","        434.05","        438.90","        427.50","        433.30","        433.35","        433.00","   12781318","          5534346619.25","     117094"
"BHARTIARTL","EQ","28-Oct-2020","        433.35","        446.00","        488.00","        442.00","        447.75","        451.85","        463.51","  123585653","         57283140201.95","     946705"
"BHARTIARTL","EQ","29-Oct-2020","        451.85","        447.70","        457.10","        445.00","        450.00","        450.80","        450.77","   25066939","         11299443464.90","     240192"
"BHARTIARTL","EQ","30-Oct-2020","        450.80","        454.90","        454.90","        430.50","        432.75","        433.75","        439.21","   23051352","         10124440584.85","     211345"
"BHARTIARTL","EQ","02-Nov-2020","        433.75","        435.00","        460.00","        435.00","        455.55","        457.40","        451.11","   28174600","         12709769653.20","     262756"
"BHARTIARTL","EQ","03-Nov-2020","        457.40","        458.00","        460.70","        447.45","        454.90","        454.60","        454.62","   16036760","          7290605970.95","     162571"
"BHARTIARTL","EQ","04-Nov-2020","        454.60","        453.00","        455.55","        447.15","        451.50","        453.05","        451.71","   10003680","          4518784877.25","      98671"
"BHARTIARTL","EQ","05-Nov-2020","        453.05","        457.00","        461.90","        452.60","        458.00","        457.30","        457.50","    9234395","          4224737992.70","     109959"
"BHARTIARTL","EQ","06-Nov-2020","        457.30","        457.00","        460.35","        448.75","        450.25","        449.90","        453.18","   11970462","          5424776151.60","     130841"
"BHARTIARTL","EQ","09-Nov-2020","        449.90","        456.30","        474.75","        452.55","        473.00","        471.80","        465.43","   24493687","         11400215666.60","     229825"
"BHARTIARTL","EQ","10-Nov-2020","        471.80","        474.00","        474.15","        465.00","        467.00","        466.40","        468.15","    9620279","          4503741587.00","     147987"
"BHARTIARTL","EQ","11-Nov-2020","        466.40","        467.95","        481.35","        464.05","        477.50","        478.60","        473.30","   15737416","          7448580860.10","     172984"
"BHARTIARTL","EQ","12-Nov-2020","        478.60","        476.85","        483.20","        475.05","        479.00","        479.85","        479.90","   14512799","          6964693772.25","     123986"
"BHARTIARTL","EQ","13-Nov-2020","        479.85","        477.00","        478.00","        470.00","        477.25","        475.75","        474.37","    8272841","          3924406131.90","      99267"
"BHARTIARTL","EQ","14-Nov-2020","        475.75","        487.00","        487.00","        479.00","        479.90","        481.50","        482.61","    3940508","          1901746834.65","      63522"
"BHARTIARTL","EQ","17-Nov-2020","        481.50","        490.90","        494.95","        481.25","        484.50","        484.55","        487.48","   18699305","          9115487943.95","     211335"
"BHARTIARTL","EQ","18-Nov-2020","        484.55","        483.95","        485.00","        471.10","        477.80","        478.40","        477.45","   10311000","          4922943482.05","     140865"
"BHARTIARTL","EQ","19-Nov-2020","        478.40","        476.00","        481.45","        467.00","        468.40","        468.55","        473.25","   11329235","          5361504589.30","     129354"
"BHARTIARTL","EQ","20-Nov-2020","        468.55","        470.50","        485.95","        465.35","        483.15","        483.70","        475.15","   11867647","          5638941177.80","     132087"
"BHARTIARTL","EQ","23-Nov-2020","        483.70","        486.75","        486.75","        475.10","        476.75","        477.25","        479.21","   10005675","          4794770649.60","     149571"
"BHARTIARTL","EQ","24-Nov-2020","        477.25","        478.40","        481.25","        471.20","        475.50","        474.25","        475.07","    9173967","          4358262925.35","     129133"
"BHARTIARTL","EQ","25-Nov-2020","        474.25","        476.50","        477.90","        458.65","        464.30","        464.10","        467.61","   14229948","          6654006389.15","     208648"
