Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
8-April-2020,470.50,490.95,453.30,461.60,467.905949251243070573,343102,7555,160539467.00,27420,7.99,37.65,-8.90
7-April-2020,432.00,473.40,432.00,470.05,458.623256973734818803,613588,13923,281405727.00,192036,31.30,41.40,38.05
3-April-2020,423.00,429.65,415.70,423.95,423.082674143144467892,363451,7922,153769821.00,63077,17.36,13.95,0.95
1-April-2020,443.00,443.00,412.60,421.10,424.117727960978026648,468249,7491,198592702.00,82642,17.65,30.40,-21.90
31-March-2020,438.00,447.00,424.10,440.60,438.328298699773714828,3585299,10138,1571538011.00,808133,22.54,22.90,2.60
30-March-2020,448.00,449.25,427.45,429.25,432.190612467417887527,720871,5594,311553679.00,540758,75.01,21.80,-18.75
27-March-2020,475.00,475.00,437.45,448.90,449.926602894301679014,1177417,11150,529751231.00,865364,73.50,37.55,-26.10
26-March-2020,434.00,494.05,420.60,478.00,454.379967561705614118,418641,9661,190222084.00,70283,16.79,73.45,44.00
25-March-2020,400.00,437.80,400.00,429.75,423.808919207032874577,209189,6086,88656164.00,28621,13.68,37.80,29.75
24-March-2020,414.00,435.55,400.70,404.05,411.774316918927373114,338869,6203,139537551.00,94751,27.96,34.85,-9.95
23-March-2020,420.00,470.00,399.65,405.80,423.709839607056626499,361986,10005,153377030.00,119446,33.00,70.35,-14.20
20-March-2020,449.90,472.15,437.00,461.90,454.328163657311464155,547681,13809,248826903.00,77397,14.13,35.15,12.00
19-March-2020,410.20,451.35,381.05,444.90,431.479784024325433397,1189208,33106,513119211.00,542116,45.59,70.30,34.70
18-March-2020,460.00,478.40,409.30,426.20,452.723899207475478494,1518565,20811,687490668.00,722904,47.60,69.10,-33.80
17-March-2020,464.65,480.70,444.40,454.10,468.824537855218153839,595268,18973,279076245.00,211652,35.56,36.30,-10.55
16-March-2020,480.70,492.60,456.60,464.65,471.557198832784320803,531864,14823,250804298.00,134905,25.36,36.00,-16.05
13-March-2020,432.00,511.40,419.00,494.20,476.328747900299435558,575082,11159,273928089.00,99643,17.33,92.40,62.20
12-March-2020,483.00,483.00,459.45,464.95,470.264640577603290995,452629,9370,212855414.00,86600,19.13,23.55,-18.05
11-March-2020,494.45,508.50,488.15,493.70,500.812731686205144609,478287,13474,239532219.00,149522,31.26,20.35,-0.75
9-March-2020,514.90,514.90,491.20,496.25,500.362269486721686039,320372,9090,160302061.00,70069,21.87,23.70,-18.65
6-March-2020,525.00,525.00,511.80,519.15,518.114629757785467128,216750,3311,112301346.00,47304,21.82,13.20,-5.85
5-March-2020,521.00,531.00,516.75,527.20,525.017245744567899650,857081,5514,449982306.00,567398,66.20,14.25,6.20
4-March-2020,523.85,532.70,507.75,516.70,520.168392384251415088,318708,4599,165781828.00,27458,8.62,24.95,-7.15
3-March-2020,524.90,533.00,514.50,521.20,523.169247117702846304,262551,3780,137358609.00,34285,13.06,18.50,-3.70
2-March-2020,534.15,535.95,512.20,518.55,528.108649909731227909,314616,4837,166151431.00,42314,13.45,23.75,-15.60
28-February-2020,528.00,528.00,513.50,524.05,521.468517877781785790,271678,5541,141671524.00,37260,13.71,14.50,-3.95
27-February-2020,535.00,536.00,526.85,531.80,530.540992974768225682,1097188,14738,582103211.00,108983,9.93,9.15,-3.20
26-February-2020,535.00,539.50,520.45,536.45,528.776810729917972837,533238,5420,281963889.00,288818,54.16,19.05,1.45
25-February-2020,531.00,537.55,530.85,535.35,533.970231092436974789,142800,4199,76250949.00,23160,16.22,6.70,4.35
24-February-2020,543.90,543.90,527.05,529.80,534.330039867353300189,190883,3345,101994521.00,31187,16.34,16.85,-14.10
20-February-2020,542.00,552.00,538.50,545.50,545.639543565150657531,287971,5087,157128365.00,32247,11.20,13.50,3.50
19-February-2020,549.90,553.35,539.20,543.35,546.548428829781027909,291407,4792,159268038.00,44237,15.18,14.15,-6.55
18-February-2020,564.00,568.60,537.65,547.75,557.002997231291606302,1172749,8686,653224708.00,604039,51.51,30.95,-16.25
17-February-2020,564.25,568.60,556.70,565.00,563.477675947924966380,554738,8231,312582479.00,74794,13.48,11.90,0.75
14-February-2020,543.60,567.40,534.50,565.10,555.229897489835324406,1274020,17985,707373994.00,115521,9.07,32.90,21.50
13-February-2020,545.00,545.00,532.00,539.80,536.693014413017386963,94151,3150,50530184.00,30463,32.36,13.00,-5.20
12-February-2020,535.05,542.10,535.00,539.55,539.770971720684172202,67293,1877,36322808.00,10170,15.11,7.10,4.50
11-February-2020,538.60,544.85,532.85,534.45,539.169289604820952601,172580,5872,93049836.00,20497,11.88,12.00,-4.15
10-February-2020,540.00,543.75,536.45,538.50,539.086034559762472400,158971,4546,85699046.00,22052,13.87,7.30,-1.50
7-February-2020,548.20,548.60,538.25,539.60,541.833382160387906036,167257,2830,90625426.00,26225,15.68,10.35,-8.60
