Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-October-2021,1650.00,1665.00,1637.05,1642.65,1649.557358384262048782,255586,10674,421603767.00,182860,71.55,27.95,-7.35
26-October-2021,1652.90,1674.00,1646.95,1653.05,1655.576259354571538438,169035,6397,279850333.00,117550,69.54,27.05,0.15
25-October-2021,1689.00,1689.30,1616.85,1656.85,1653.891590158707857579,370114,19453,612128432.00,231416,62.53,72.45,-32.15
22-October-2021,1679.00,1708.00,1654.25,1681.95,1693.734583327022783608,396162,12500,670993280.00,301466,76.10,53.75,2.95
21-October-2021,1677.70,1681.75,1660.85,1675.70,1669.287438760309001274,195339,5877,326076939.00,141866,72.63,20.90,-2.00
20-October-2021,1690.95,1700.00,1664.55,1673.50,1674.520959910288758059,445875,18426,746627033.00,337626,75.72,35.45,-17.45
19-October-2021,1671.15,1692.00,1671.15,1688.95,1685.534746503496503496,146432,5770,246816224.00,77280,52.78,20.85,17.80
18-October-2021,1709.95,1724.30,1666.85,1670.15,1694.268104521383209907,947940,17225,1606064507.00,726998,76.69,57.45,-39.80
14-October-2021,1642.45,1690.00,1639.05,1685.90,1673.096189326694445632,304067,13416,508733339.00,222124,73.05,50.95,43.45
13-October-2021,1637.00,1648.00,1630.00,1639.05,1638.886891835697454142,86572,4110,141881716.00,34830,40.23,18.00,2.05
12-October-2021,1628.00,1641.00,1625.00,1629.30,1633.166586337411224359,141086,8439,230416941.00,70105,49.69,16.00,1.30
11-October-2021,1603.00,1644.85,1600.00,1634.35,1631.904382470119521912,144074,6355,235114992.00,77940,54.10,44.85,31.35
8-October-2021,1612.00,1621.95,1600.00,1602.20,1613.988721944177604169,188419,9097,304106141.00,121051,64.25,21.95,-9.80
7-October-2021,1624.10,1628.05,1607.00,1611.25,1618.069613692901178930,221896,13649,359043175.00,120722,54.40,21.05,-12.85
6-October-2021,1601.00,1626.40,1587.00,1615.05,1613.487846169039120804,141766,5343,228737718.00,58321,41.14,39.40,14.05
5-October-2021,1586.15,1597.55,1577.00,1595.30,1586.008243020284041279,154555,7924,245125504.00,98370,63.65,20.55,9.15
4-October-2021,1590.00,1601.00,1583.15,1585.30,1588.507806983458470691,239337,8786,380188693.00,195371,81.63,17.85,-4.70
1-October-2021,1582.00,1586.95,1565.70,1582.55,1577.283800866335938333,355982,15972,561484642.00,271375,76.23,21.25,0.55
30-September-2021,1592.00,1606.15,1583.30,1595.50,1593.965946142863284511,441947,10000,704448468.00,352978,79.87,22.85,3.50
29-September-2021,1590.00,1606.90,1584.95,1593.20,1593.174802658300124203,339766,16402,541306630.00,250170,73.63,21.95,3.20
28-September-2021,1635.00,1635.00,1582.05,1615.95,1608.864854354248923793,185141,7713,297866848.00,88709,47.91,52.95,-19.05
27-September-2021,1614.05,1635.60,1610.15,1624.25,1625.715595911662712173,438320,16463,712583660.00,315025,71.87,25.45,10.20
24-September-2021,1578.00,1607.80,1575.00,1601.35,1591.774480637015739175,671255,27911,1068486579.00,500751,74.60,32.80,23.35
23-September-2021,1548.00,1572.15,1542.40,1570.25,1561.591206116118755013,534849,21596,835215495.00,407438,76.18,29.75,22.25
22-September-2021,1551.00,1551.00,1530.00,1534.45,1537.437189565970769359,203143,7360,312319603.00,142085,69.94,21.00,-16.55
21-September-2021,1561.15,1568.35,1528.70,1549.85,1546.532452598314606741,113920,4381,176180977.00,58972,51.77,39.65,-11.30
20-September-2021,1569.00,1581.00,1558.00,1559.35,1570.904871319604007755,234146,14863,367821092.00,163479,69.82,23.00,-9.65
17-September-2021,1567.00,1589.85,1559.70,1583.30,1572.718866835742584339,206219,7834,324324512.00,123557,59.92,30.15,16.30
16-September-2021,1543.40,1563.90,1537.00,1559.70,1549.931809107847170130,330616,15438,512432255.00,240883,72.86,26.90,16.30
15-September-2021,1541.00,1554.70,1536.35,1547.10,1541.393321488663238772,254967,9784,393004431.00,198195,77.73,18.35,6.10
14-September-2021,1563.00,1564.75,1546.20,1548.25,1555.821691488145230293,253611,7123,394573495.00,216349,85.31,18.55,-14.75
13-September-2021,1562.00,1581.00,1553.60,1555.35,1559.227300916368146618,245098,12922,382163493.00,185627,75.74,27.40,-6.65
9-September-2021,1571.00,1579.00,1561.10,1567.65,1573.844215527232579067,1165681,9181,1834600299.00,1100421,94.40,17.90,-3.35
8-September-2021,1568.25,1580.45,1566.00,1577.10,1574.157001524437669165,128572,5128,202392514.00,93211,72.50,14.45,8.85
7-September-2021,1566.80,1581.95,1555.25,1569.15,1569.073415630375641287,131961,11337,207056497.00,67391,51.07,26.70,2.35
6-September-2021,1580.00,1581.50,1562.55,1566.80,1569.219646348987253087,95631,4111,150066044.00,59618,62.34,18.95,-13.20
3-September-2021,1589.10,1597.85,1568.40,1575.65,1583.538939041327277504,213128,10345,337496487.00,116699,54.76,29.45,-13.45
2-September-2021,1579.15,1592.00,1572.00,1589.10,1583.210988174794577710,162957,6469,257995313.00,120603,74.01,20.00,9.95
1-September-2021,1580.00,1597.50,1575.00,1578.50,1587.498217537877320106,154842,11101,245811399.00,96368,62.24,22.50,-1.50
31-August-2021,1567.00,1583.00,1560.00,1581.50,1576.594471437056366415,102703,4441,161920982.00,61327,59.71,23.00,14.50
30-August-2021,1555.00,1569.90,1548.00,1568.05,1563.154567077109801695,204332,12711,319402499.00,148576,72.71,21.90,13.05
27-August-2021,1544.00,1558.70,1544.00,1548.70,1552.421721208420145125,222704,9403,345730527.00,152699,68.57,14.70,4.70
26-August-2021,1554.70,1571.00,1543.45,1554.85,1560.067802822063404801,81855,3644,127699350.00,24123,29.47,27.55,0.15
25-August-2021,1555.00,1564.60,1548.00,1556.95,1556.367472694351965422,102726,5442,159879405.00,48299,47.02,16.60,1.95
24-August-2021,1528.00,1564.35,1527.40,1558.75,1548.287094609008746507,192191,7633,297566845.00,118187,61.49,36.95,30.75
23-August-2021,1528.00,1534.00,1509.00,1523.50,1520.611433359637490746,245842,8488,373830156.00,165988,67.52,25.00,-4.50
20-August-2021,1488.95,1519.75,1487.00,1514.35,1505.832752953111130619,102519,5951,154376468.00,41258,40.24,32.75,25.40
18-August-2021,1550.00,1564.75,1508.45,1512.90,1537.556990613851077186,522472,21386,803330476.00,238034,45.56,56.30,-37.10
17-August-2021,1518.95,1524.35,1505.30,1514.85,1514.254817959437246806,231789,7798,350987610.00,174858,75.44,19.05,-4.10
16-August-2021,1525.10,1535.00,1521.60,1529.35,1529.256484756611083038,118740,6717,181583915.00,60648,51.08,13.40,4.25
13-August-2021,1502.00,1531.00,1501.20,1525.10,1521.366964771326875546,435753,23370,662940219.00,329947,75.72,29.80,23.10
12-August-2021,1492.00,1505.00,1489.40,1501.40,1498.915616712534400800,199850,7527,299558286.00,110708,55.40,15.60,9.40
11-August-2021,1512.00,1518.70,1491.10,1494.95,1501.745337684827494338,150140,6303,225472045.00,68717,45.77,27.60,-17.05
10-August-2021,1490.90,1519.50,1490.00,1507.45,1512.244975686061141904,176442,7164,266823528.00,80666,45.72,29.50,16.55
9-August-2021,1485.00,1506.60,1480.00,1503.65,1501.188402863718902163,518766,20558,778765503.00,303725,58.55,26.60,18.65
6-August-2021,1480.00,1499.50,1475.00,1493.70,1489.227082891668433326,283020,16013,421481049.00,167321,59.12,24.50,13.70
5-August-2021,1474.90,1506.95,1457.55,1485.65,1482.917837668196618414,382365,10813,567015879.00,184678,48.30,49.40,10.75
4-August-2021,1446.95,1474.75,1440.90,1464.85,1464.474684269955702249,287825,12864,421512426.00,127350,44.25,33.85,17.90
3-August-2021,1413.40,1439.50,1413.40,1434.45,1428.560791639156830222,310495,17311,443560983.00,176333,56.79,26.10,21.05
2-August-2021,1437.80,1437.80,1416.25,1422.75,1425.347147335423197492,143550,8891,204608583.00,77011,53.65,21.55,-15.05
30-July-2021,1426.00,1431.85,1409.65,1425.80,1422.617475014697236919,136080,5178,193589786.00,90659,66.62,22.20,-0.20
