"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"LT","EQ","01-Dec-2020","       1122.40","       1140.00","       1140.00","       1111.20","       1116.00","       1115.95","       1120.52","    3551604","          3979654185.80","      81789"
"LT","EQ","02-Dec-2020","       1115.95","       1120.05","       1132.05","       1104.10","       1113.85","       1113.75","       1116.04","    4434968","          4949605920.60","      84559"
"LT","EQ","03-Dec-2020","       1113.75","       1135.00","       1137.45","       1120.30","       1126.00","       1125.15","       1125.88","    4087608","          4602149789.05","      97526"
"LT","EQ","04-Dec-2020","       1125.15","       1130.00","       1162.00","       1128.75","       1149.00","       1149.50","       1148.32","    6542918","          7513331868.35","     144476"
"LT","EQ","07-Dec-2020","       1149.50","       1154.80","       1171.90","       1144.00","       1169.55","       1169.70","       1161.99","    5484461","          6372878166.90","     134361"
"LT","EQ","08-Dec-2020","       1169.70","       1174.95","       1182.50","       1148.05","       1171.70","       1171.40","       1166.41","    4982626","          5811788812.45","     127187"
"LT","EQ","09-Dec-2020","       1171.40","       1178.00","       1185.00","       1166.35","       1183.00","       1181.00","       1176.45","    4304573","          5064103733.80","     124769"
"LT","EQ","10-Dec-2020","       1181.00","       1182.00","       1193.75","       1170.05","       1189.30","       1190.35","       1181.63","    4921373","          5815223621.45","     133137"
"LT","EQ","11-Dec-2020","       1190.35","       1188.00","       1216.80","       1182.00","       1191.45","       1194.30","       1200.12","    6689415","          8028082288.80","     133198"
"LT","EQ","14-Dec-2020","       1194.30","       1198.10","       1263.90","       1198.10","       1245.40","       1249.65","       1234.67","    9723233","         12004950379.20","     231243"
"LT","EQ","15-Dec-2020","       1249.65","       1250.00","       1252.00","       1216.10","       1245.00","       1246.25","       1234.66","    6953407","          8585122626.45","     166723"
"LT","EQ","16-Dec-2020","       1246.25","       1256.25","       1278.00","       1247.05","       1268.95","       1268.25","       1263.82","    5729223","          7240699946.20","     134570"
"LT","EQ","17-Dec-2020","       1268.25","       1270.00","       1284.00","       1254.05","       1277.00","       1278.80","       1271.38","    5345257","          6795871269.25","     128985"
"LT","EQ","18-Dec-2020","       1278.80","       1283.95","       1301.00","       1270.00","       1273.00","       1281.55","       1285.06","   10315248","         13255719126.15","     160759"
"LT","EQ","21-Dec-2020","       1281.55","       1276.25","       1338.50","       1154.00","       1235.25","       1234.85","       1279.26","   21153346","         27060555787.40","     420610"
"LT","EQ","22-Dec-2020","       1234.85","       1235.25","       1268.00","       1213.55","       1264.85","       1262.70","       1242.46","    7998730","          9938074861.00","     193655"
"LT","EQ","23-Dec-2020","       1262.70","       1268.00","       1271.30","       1248.35","       1266.95","       1264.80","       1262.03","    4057070","          5120163973.30","     107734"
"LT","EQ","24-Dec-2020","       1264.80","       1275.00","       1281.00","       1253.50","       1262.80","       1262.20","       1265.23","    3277840","          4147207518.60","      81994"
"LT","EQ","28-Dec-2020","       1262.20","       1275.00","       1291.00","       1266.50","       1290.00","       1289.40","       1281.96","    3405825","          4366118062.50","      88694"
"LT","EQ","29-Dec-2020","       1289.40","       1294.95","       1295.05","       1267.70","       1286.20","       1284.85","       1281.22","    3778319","          4840862990.00","     102729"
"LT","EQ","30-Dec-2020","       1284.85","       1288.20","       1296.35","       1271.00","       1290.45","       1292.05","       1282.31","    2866392","          3675610101.30","      56395"
"LT","EQ","31-Dec-2020","       1292.05","       1293.00","       1304.00","       1282.00","       1288.15","       1287.60","       1293.95","    3889877","          5033309680.00","      92338"
