Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2022,2572.15,2584.45,2555.75,2559.75,2569.317363003330305782,13212,1632,33945821.00,6531,49.43,28.70,-12.40
29-December-2022,2578.05,2581.85,2540.25,2567.30,2553.791836495322992112,68206,8304,174183926.00,39431,57.81,41.60,-10.75
28-December-2022,2590.00,2603.00,2579.00,2584.05,2587.900698900984696926,38489,1760,99605710.00,29823,77.48,24.00,-5.95
27-December-2022,2629.95,2633.20,2575.00,2590.70,2592.673532950736062351,201953,8014,523598198.00,165544,81.97,58.20,-39.25
26-December-2022,2616.05,2638.00,2606.00,2616.80,2622.020179898318341806,12785,1725,33522528.00,3827,29.93,32.00,0.75
23-December-2022,2640.00,2646.90,2608.90,2619.85,2625.983309659090909090,22528,2844,59158152.00,13291,59.00,38.00,-20.15
22-December-2022,2670.00,2687.95,2641.00,2644.45,2652.618161670360433920,51438,2843,136445373.00,43901,85.35,46.95,-25.55
21-December-2022,2699.95,2699.95,2649.90,2666.15,2663.448350627226266067,25828,2251,68791544.00,16472,63.78,50.05,-33.80
20-December-2022,2695.05,2706.75,2654.00,2674.30,2670.272225835200038538,41517,2884,110861692.00,27904,67.21,52.75,-20.75
19-December-2022,2671.00,2721.00,2670.40,2717.70,2702.992227890574177423,58414,4830,157892588.00,47356,81.07,50.60,46.70
16-December-2022,2662.50,2687.00,2653.30,2670.40,2666.806197602444566324,25526,2958,68072895.00,13943,54.62,33.70,7.90
15-December-2022,2665.35,2682.40,2648.30,2662.30,2657.335116491870204828,85242,6015,226516560.00,69106,81.07,34.10,-3.05
14-December-2022,2715.15,2718.60,2671.25,2685.45,2692.633526081559746904,33031,3834,88940378.00,21500,65.09,47.35,-29.70
13-December-2022,2716.00,2719.50,2698.20,2709.60,2712.937991307858550834,42107,4060,114233680.00,34166,81.14,21.30,-6.40
12-December-2022,2675.05,2723.20,2675.05,2715.55,2710.921188573446951300,22649,1965,61399654.00,15246,67.31,48.15,40.50
9-December-2022,2724.50,2741.00,2712.00,2721.20,2725.017840427289246186,36322,3574,98978098.00,15857,43.66,29.00,-3.30
8-December-2022,2699.95,2710.70,2685.85,2701.30,2697.468725145371957793,56579,6079,152620083.00,40854,72.21,24.85,1.35
7-December-2022,2650.00,2719.45,2650.00,2707.50,2692.507963048112694896,47846,3895,128825736.00,22592,47.22,69.45,57.50
6-December-2022,2612.45,2660.00,2605.00,2654.10,2643.102567086970578726,77325,7092,204377906.00,56088,72.54,55.00,41.65
5-December-2022,2602.95,2624.75,2585.00,2619.70,2610.951719502632463313,80343,6534,209771694.00,61695,76.79,39.75,16.75
